hhid,hhea,consumption,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,closesubtreatment,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmtscore,getbenefit
4012,004,487543.2,2978.67,2978.67,4254.878,5046.194,29166.67,0,1,0,0,175.9551,4,4062.86,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,501.5698,1024.671,12.74693,0
4012,004,487543.2,3147.956,3319.462,4424.164,5215.48,29166.67,0,0,0,.2,175.9551,4,4062.86,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,118.9484,501.5698,1024.671,12.74693,0
4031,004,1410167,9189.851,9189.851,12054.27,12317.5,27777.78,0,1,0,0,175.9551,3,9401.111,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1205.894,1142.326,13.48814,0
4031,004,1410167,11045.47,10157.39,13909.89,14173.11,27777.78,0,0,0,.3,175.9551,3,9401.111,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,1333.333,205.3131,2539.227,2475.659,13.48814,0
4039,004,1424911,11607.42,11607.42,14694.48,15147.37,20833.33,0,1,0,0,175.9551,4,15832.34,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,936.1569,920.2173,13.19598,0
4039,004,1424911,12267.1,12590.86,15354.16,15807.05,20833.33,0,0,0,.2,175.9551,4,15832.34,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,118.9484,936.1569,920.2173,13.19598,0
4043,004,768734.2,4671.569,4992.296,6168.967,6505.182,27777.78,0,0,0,.3,175.9551,3,4521.966,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,205.3131,967.0566,1282.396,13.27965,0
4043,004,768734.2,4420.349,4420.349,5917.746,6253.962,27777.78,0,1,0,0,175.9551,3,4521.966,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,967.0566,1282.396,13.27965,0
4047,004,498513.6,2030.463,2030.463,2811.829,3260.287,16666.67,0,1,0,0,175.9551,7,4846.66,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,287.8416,587.9868,12.49783,0
4047,004,498513.6,2261.256,2359.924,3042.623,3491.08,16666.67,0,0,0,.5,175.9551,7,4846.66,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,127.4648,287.8416,587.9868,12.49783,0
4050,004,763328.6,8290.835,8290.835,9865.78,10094.14,23333.33,0,1,0,0,175.9551,5,14135.71,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,580.2339,769.4379,12.56195,0
4050,004,763328.6,9233.216,9101.685,10808.16,11036.52,23333.33,0,0,0,.3,175.9551,5,14135.71,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,123.1879,580.2339,769.4379,12.56195,0
4066,004,797514.3,3712.346,3712.346,5019.22,5026.448,23333.33,0,1,0,0,175.9551,5,6329.479,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,672.7578,583.8384,13.14711,0
4066,004,797514.3,4723.329,4260.112,6030.203,6037.43,23333.33,0,0,0,.5,175.9551,5,6329.479,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,800,178.4507,1472.758,1383.838,13.14711,0
4081,004,469745.3,3279.923,3279.923,4534.162,5247.984,23333.33,0,1,0,0,175.9551,5,5592.206,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,401.2558,819.7365,13.01046,0
4081,004,469745.3,3466.33,3619.362,4720.569,5434.391,23333.33,0,0,0,.2,175.9551,5,5592.206,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,95.15869,401.2558,819.7365,13.01046,0
4083,004,534779.8,3485.082,3485.082,4912.021,5767.971,29166.67,1,1,0,0,175.9551,4,4753.598,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,500.8521,1023.235,12.92063,0
