hhid,hhea,consumption,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,closesubtreatment,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmtscore,getbenefit
523020,523,81024.41,1744.62,927.1158,2237.431,2863.335,9722.222,0,0,0,3,175.9551,12,953.2283,8.711562,-.7913247,-.1123411,40.21196,-3.331221,-.5616105,8.021887,-.7278951,1346.75,454.2715,1839.562,2465.465,12.10476,0
457035,457,83626.99,144.0462,237.6311,711.703,623.9057,8333.333,1,1,1,.5,125.7222,6,355.8595,8.711562,-.7913247,-.5047958,40.21196,-3.331221,-.6510682,8.021887,-.7278951,0,96.39297,513.9061,303.7382,12.13806,0
490017,490,101212.5,3078.551,3903.695,4222.521,5111.481,29166.67,1,0,1,4,175.3095,4,963.9286,8.711562,-.7913247,-.5047958,40.21196,-3.331221,-.6510682,8.021887,-.7278951,1616.1,2486.225,2670.718,3524.356,12.289,0
307043,307,111966.7,1918.276,1918.276,3239.816,4224.863,10000,1,1,0,0,171.7391,5,2073.457,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,0,0,873.9733,2067.368,12.18308,0
409012,409,117688.4,1187.242,2474.791,2665.677,4543.388,29166.67,1,0,0,3,175.9551,4,747.2279,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,0,1362.814,1478.434,3356.146,12.31031,0
108039,108,119973.8,1110.926,1237.784,2211.616,3298.812,23333.33,1,0,0,.2,175.9551,5,1052.402,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,170.0078,884.6207,2088.663,12.30023,0
3012,003,130934.5,776.5078,776.5078,2063.523,3484.305,20833.33,1,1,0,0,171.7391,4,671.4591,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,0,1132.394,2664.066,12.54511,0
111094,111,143231,759.2086,759.2086,1473.007,2124.859,23333.33,1,1,0,0,171.7391,5,1326.213,8.711562,-.7913247,0,40.21196,-3.331221,0,8.021887,-.7278951,0,0,553.9683,1305.586,12.21089,0
492073,492,144936.5,1759.653,1134.127,2294.406,2727.103,13888.89,0,0,1,2,175.3095,6,828.2086,8.711562,-.7913247,-.5047958,40.21196,-3.331221,-.6510682,8.021887,-.7278951,1333.333,660.6739,1823.651,2231.062,12.30519,0
236014,236,145121,972.8984,972.8984,1921.556,2803.735,19444.44,0,1,0,0,171.7391,6,1261.922,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,0,0,754.9296,1776.044,12.2945,0
