hhid,hhea,c,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,close,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmt,getbenefit,logc,unob_c,distt_q,pmt_q,c_q,unob_c_q,col2,col3,col4,col5,col6
523020,523,81024.41,1744.62,927.1158,2237.431,2863.335,9722.222,0,0.0,0,3.0,175.9551,12,953.2283,8.711562,-0.7913247,-0.1123411,40.21196,-3.331221,-0.5616105,8.021887,-0.7278951,1346.75,454.2715,1839.562,2465.465,12.10476,0.0,11.302505746280058,-1.2926282593210185,4,1,1,1,0.7465397422896912,0.987284656753096,0.9996247228295344,0.9305158008217524,0.19930151043331623
457035,457,83626.99,144.0462,237.6311,711.703,623.9057,8333.333,1,1.0,1,0.5,125.7222,6,355.8595,8.711562,-0.7913247,-0.5047958,40.21196,-3.331221,-0.6510682,8.021887,-0.7278951,0.0,96.39297,513.9061,303.7382,12.13806,0.0,11.334121593858901,-1.2858613323327077,3,1,1,1,0.6637753383708445,0.963203373976157,0.9985764011085394,0.8692091550135822,0.18332580906963633
490017,490,101212.5,3078.551,3903.695,4222.521,5111.481,29166.67,1,0.0,1,4.0,175.3095,4,963.9286,8.711562,-0.7913247,-0.5047958,40.21196,-3.331221,-0.6510682,8.021887,-0.7278951,1616.1,2486.225,2670.718,3524.356,12.289,0.0,11.52497754599437,-1.2076388959310282,4,1,1,1,0.7806953276779343,0.9999347560174844,0.9999360757367614,0.9997468110987356,0.6766451354207511
307043,307,111966.7,1918.276,1918.276,3239.816,4224.863,10000.0,1,1.0,0,0.0,171.7391,5,2073.457,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,0.0,873.9733,2067.368,12.18308,0.0,11.62595678463988,-1.0276206882480015,1,1,1,1,0.7406399999818558,0.9474315270476911,0.992311781841195,0.8533630160775627,0.20364313569845827
409012,409,117688.4,1187.242,2474.791,2665.677,4543.388,29166.67,1,0.0,0,3.0,175.9551,4,747.2279,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,0.0,1362.814,1478.434,3356.146,12.31031,0.0,11.675795732741483,-1.0727225259341928,4,1,1,1,0.7616507981293067,0.9999299185573207,0.9999360757367614,0.9994133110515903,0.6900205521111846
108039,108,119973.8,1110.926,1237.784,2211.616,3298.812,23333.33,1,0.0,0,0.2,175.9551,5,1052.402,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,170.0078,884.6207,2088.663,12.30023,0.0,11.695028664592657,-1.0459677586610212,2,1,1,1,0.8692102115722986,0.999844739299466,0.9999360757367614,0.9970493958941188,0.5376979251541855
3012,3,130934.5,776.5078,776.5078,2063.523,3484.305,20833.33,1,1.0,0,0.0,171.7391,4,671.4591,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,0.0,1132.394,2664.066,12.54511,0.0,11.782452477141605,-1.1412767891814362,1,1,1,1,0.7083962833334733,0.9993281089858977,0.9999360757367614,0.9905610000243177,0.4706288828961485
111094,111,143231.0,759.2086,759.2086,1473.007,2124.859,23333.33,1,1.0,0,0.0,171.7391,5,1326.213,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,0.0,553.9683,1305.586,12.21089,0.0,11.872213990527099,-0.8021156890161194,1,1,1,1,0.9099016649877633,0.9994342000825015,0.9999360757367614,0.9921341562083408,0.5404548001599687
492073,492,144936.5,1759.653,1134.127,2294.406,2727.103,13888.89,0,0.0,1,2.0,175.3095,6,828.2086,8.711562,-0.7913247,-0.5047958,40.21196,-3.331221,-0.6510682,8.021887,-0.7278951,1333.333,660.6739,1823.651,2231.062,12.30519,0.0,11.884050994448428,-0.8606466494097251,4,1,1,1,0.6454337567479156,0.970469359738582,0.9961459191777615,0.9039079539911712,0.2837884749181085
236014,236,145121.0,972.8984,972.8984,1921.556,2803.735,19444.44,0,1.0,0,0.0,171.7391,6,1261.922,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,0.0,754.9296,1776.044,12.2945,0.0,11.885323156174174,-0.8513974618247353,1,1,1,1,0.8201370304021361,0.9972964988077196,0.9998954011128136,0.9773498605420099,0.4307106499088815
430038,430,146317.5,1735.473,1735.473,3594.975,5393.438,16666.67,1,1.0,0,0.0,171.7391,3,1125.519,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,0.0,0.0,1474.368,3481.105,12.4063,0.0,11.893534197079527,-0.9266131272863998,1,1,1,1,0.62718006680474,0.9905870086484924,0.9993559844758625,0.9508356319602193,0.35131560463904243
249049,249,151119.0,1941.793,1941.793,3452.022,4697.573,37500.0,0,1.0,0,0.0,171.7391,4,1679.1,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,0.0,1145.703,2690.684,12.6629,0.0,11.92582288489569,-1.0858029086453396,1,2,1,1,0.6722460008601557,0.9999271235206741,0.9999360757367614,0.999458618328677,0.846449460861431
